SN,Source,Date,Open,High,Low,Close,Adjusted_Close
1,amazon,1/2/15,312.579987,314.75,306.959991,308.519989,308.519989
2,amazon,1/5/15,307.01001,308.380005,300.850006,302.190002,302.190002
3,amazon,1/6/15,302.23999,303,292.380005,295.290009,295.290009
4,amazon,1/7/15,297.5,301.279999,295.329987,298.420013,298.420013
5,amazon,1/8/15,300.320007,303.140015,296.109985,300.459991,300.459991
6,amazon,1/9/15,301.480011,302.869995,296.679993,296.929993,296.929993
7,amazon,1/12/15,297.559998,298.51001,289.279999,291.410004,291.410004
8,amazon,1/13/15,297.480011,301.5,293.230011,294.73999,294.73999
9,amazon,1/14/15,291.929993,295.910004,286.5,293.269989,293.269989
10,amazon,1/15/15,294,296,286.820007,286.950012,286.950012
11,amazon,1/16/15,286.279999,290.790009,285.25,290.73999,290.73999
12,amazon,1/20/15,292.589996,293.359985,286.390015,289.440002,289.440002
13,amazon,1/21/15,289.640015,306,287.26001,297.25,297.25
14,amazon,1/22/15,300,312.25,300,310.320007,310.320007
15,amazon,1/23/15,308.079987,316.929993,307.720001,312.390015,312.390015
16,amazon,1/26/15,311.820007,313,307.519989,309.660004,309.660004
17,amazon,1/27/15,306.299988,310.23999,302.630005,306.75,306.75
18,amazon,1/28/15,309.809998,311.51001,303.799988,303.910004,303.910004
19,amazon,1/29/15,304.730011,312.799988,299.329987,311.779999,311.779999
20,amazon,1/30/15,346.320007,359.5,340.73999,354.529999,354.529999
21,amazon,2/2/15,350.049988,365,350.01001,364.470001,364.470001
22,amazon,2/3/15,360.290009,367.820007,360.209991,363.549988,363.549988
23,amazon,2/4/15,358.380005,367.5,358.230011,364.75,364.75
24,amazon,2/5/15,366,378.799988,365.899994,373.890015,373.890015
25,amazon,2/6/15,374.869995,375.98999,371.01001,374.279999,374.279999
26,amazon,2/9/15,371,374.410004,367.200012,370.559998,370.559998
27,amazon,2/10/15,371.190002,374.299988,368.51001,373,373
28,amazon,2/11/15,371.230011,377.100006,371.100006,375.140015,375.140015
29,amazon,2/12/15,375.100006,378.51001,373.149994,377.170013,377.170013
30,amazon,2/13/15,378.410004,383,377.01001,381.829987,381.829987
31,amazon,2/17/15,377.720001,379.98999,372.670013,375.429993,375.429993
32,amazon,2/18/15,373.779999,376.73999,372.850006,373.369995,373.369995
33,amazon,2/19/15,373.48999,381.880005,373.429993,379,379
34,amazon,2/20/15,378.619995,383.700012,375.839996,383.660004,383.660004
35,amazon,2/23/15,383.440002,384.540009,378,380.140015,380.140015
36,amazon,2/24/15,378.649994,380.480011,376.160004,378.589996,378.589996
37,amazon,2/25/15,377.269989,387.850006,376.540009,385.369995,385.369995
38,amazon,2/26/15,384.070007,389.369995,383.279999,384.799988,384.799988
39,amazon,2/27/15,384,385.98999,379.790009,380.160004,380.160004
40,amazon,3/2/15,380.850006,385.899994,379.480011,385.660004,385.660004
41,amazon,3/3/15,383.950012,386.100006,381.600006,384.609985,384.609985
42,amazon,3/4/15,385.709991,387.899994,382.190002,382.720001,382.720001
43,amazon,3/5/15,385.609985,388.420013,383.890015,387.829987,387.829987
44,amazon,3/6/15,385.519989,387,378.880005,380.089996,380.089996
45,amazon,3/9/15,378.399994,379.329987,375.279999,378.559998,378.559998
46,amazon,3/10/15,377.450012,377.769989,369.179993,369.51001,369.51001
47,amazon,3/11/15,370.609985,373.350006,366.26001,366.369995,366.369995
48,amazon,3/12/15,368.820007,375.5,367.519989,374.23999,374.23999
49,amazon,3/13/15,371.519989,373.98999,366.679993,370.579987,370.579987
50,amazon,3/16/15,370.380005,373.940002,366.720001,373.350006,373.350006
51,amazon,3/17/15,371.109985,374.5,369.640015,371.920013,371.920013
52,amazon,3/18/15,369.970001,375.98999,366.700012,375.140015,375.140015
53,amazon,3/19/15,373.869995,377.109985,372.190002,373.23999,373.23999
54,amazon,3/20/15,376.290009,379.369995,375.920013,378.48999,378.48999
55,amazon,3/23/15,378.070007,381.769989,374.940002,375.109985,375.109985
56,amazon,3/24/15,373.98999,375.23999,372.269989,374.089996,374.089996
57,amazon,3/25/15,375.170013,380.5,370.290009,370.959991,370.959991
58,amazon,3/26/15,369.589996,371.399994,365.649994,367.350006,367.350006
59,amazon,3/27/15,367.109985,373.170013,366.570007,370.559998,370.559998
60,amazon,3/30/15,371.869995,376.119995,371.549988,374.589996,374.589996
61,amazon,3/31/15,373.23999,377.700012,371.51001,372.100006,372.100006
62,amazon,4/1/15,372.100006,373.160004,368.339996,370.26001,370.26001
63,amazon,4/2/15,370.5,373.279999,369,372.25,372.25
64,amazon,4/6/15,370.100006,380.200012,369.359985,377.040009,377.040009
65,amazon,4/7/15,376.149994,379.309998,374.029999,374.410004,374.410004
66,amazon,4/8/15,374.660004,381.579987,374.649994,381.200012,381.200012
67,amazon,4/9/15,380.660004,384.420013,378.799988,383.540009,383.540009
68,amazon,4/10/15,384.309998,387.119995,381.320007,382.649994,382.649994
69,amazon,4/13/15,383.529999,385.279999,380.140015,382.359985,382.359985
70,amazon,4/14/15,383.51001,387.809998,381.209991,385.109985,385.109985
71,amazon,4/15/15,384.649994,385.779999,381.640015,383.450012,383.450012
72,amazon,4/16/15,383.690002,387.450012,383.549988,386.040009,386.040009
73,amazon,4/17/15,382.630005,383.559998,374.399994,375.559998,375.559998
74,amazon,4/20/15,378.549988,391.940002,377,389.51001,389.51001
75,amazon,4/21/15,391.309998,394.600006,386.799988,391.179993,391.179993
76,amazon,4/22/15,391.910004,394.279999,388,389.799988,389.799988
77,amazon,4/23/15,390.209991,391.880005,386.149994,389.98999,389.98999
78,amazon,4/24/15,439,452.649994,439,445.100006,445.100006
79,amazon,4/27/15,443.859985,446.98999,437.410004,438.559998,438.559998
80,amazon,4/28/15,438.51001,439,428.040009,429.309998,429.309998
81,amazon,4/29/15,426.75,434.23999,426.029999,429.369995,429.369995
82,amazon,4/30/15,427.109985,431.75,419.23999,421.779999,421.779999
83,amazon,5/1/15,423.820007,425.640015,416,422.869995,422.869995
84,amazon,5/4/15,424.799988,429.769989,422.420013,423.040009,423.040009
85,amazon,5/5/15,422.850006,427.51001,421.019989,421.190002,421.190002
86,amazon,5/6/15,421.429993,422.720001,414.549988,419.100006,419.100006
87,amazon,5/7/15,424.149994,428.5,422.850006,426.880005,426.880005
88,amazon,5/8/15,430.75,435.200012,430.170013,433.690002,433.690002
89,amazon,5/11/15,432.51001,439,431.369995,432.850006,432.850006
90,amazon,5/12/15,431.079987,433.25,426.709991,431.019989,431.019989
91,amazon,5/13/15,429.980011,433.529999,425.799988,426.869995,426.869995
92,amazon,5/14/15,429.450012,433,427.01001,432.279999,432.279999
93,amazon,5/15/15,428,430.399994,424.299988,426,426
94,amazon,5/18/15,426,427.269989,421.459991,425.23999,425.23999
95,amazon,5/19/15,424.869995,428.23999,420.630005,421.709991,421.709991
96,amazon,5/20/15,420.600006,427.100006,418.359985,423.859985,423.859985
97,amazon,5/21/15,428,436.899994,428,431.630005,431.630005
98,amazon,5/22/15,431.549988,432.440002,427.609985,427.630005,427.630005
99,amazon,5/26/15,426.200012,427,422,425.470001,425.470001
100,amazon,5/27/15,427.450012,431.850006,425.01001,431.420013,431.420013
101,amazon,5/28/15,429.709991,431.350006,425.470001,426.570007,426.570007
102,amazon,5/29/15,427.230011,432.5,427.230011,429.230011,429.230011
103,amazon,6/1/15,430.399994,433.160004,426.200012,430.920013,430.920013
104,amazon,6/2/15,430.070007,433.230011,426.25,430.98999,430.98999
105,amazon,6/3/15,434.399994,438.390015,432.75,436.589996,436.589996
106,amazon,6/4/15,434.399994,436.76001,429.26001,430.779999,430.779999
107,amazon,6/5/15,429.660004,430.799988,426.5,426.950012,426.950012
108,amazon,6/8/15,425.619995,426.799988,421.429993,423.5,423.5
109,amazon,6/9/15,422.959991,427.48999,419.140015,425.480011,425.480011
110,amazon,6/10/15,426.459991,432.200012,425.660004,430.769989,430.769989
111,amazon,6/11/15,432.290009,438.890015,431.470001,432.970001,432.970001
112,amazon,6/12/15,431.25,432.359985,428.26001,429.920013,429.920013
113,amazon,6/15/15,427.660004,428.049988,422.640015,423.670013,423.670013
114,amazon,6/16/15,424.149994,427.970001,422.670013,427.26001,427.26001
115,amazon,6/17/15,428.359985,431.350006,424.75,427.809998,427.809998
116,amazon,6/18/15,430.299988,439.730011,429.410004,439.390015,439.390015
117,amazon,6/19/15,440.26001,444.98999,433.23999,434.920013,434.920013
118,amazon,6/22/15,437,439.23999,434.179993,436.290009,436.290009
119,amazon,6/23/15,435.589996,447.040009,433.690002,445.98999,445.98999
