Standardized_Date,Monthly Nominal GDP Index,Monthly Real GDP Index,UNRATE
1992-01,6315.523,9485.624,7.3
1992-02,6356.725,9527.945,7.4
1992-03,6417.058,9606.175,7.4
1992-04,6443.17,9612.231,7.4
1992-05,6433.786,9594.319,7.6
1992-06,6535.333,9723.467,7.8
1992-07,6557.165,9739.856,7.7
1992-08,6556.862,9721.074,7.6
1992-09,6585.895,9754.991,7.6
1992-10,6637.5,9809.804,7.3
1992-11,6680.168,9837.279,7.4
1992-12,6724.741,9873.415,7.4
1993-01,6717.909,9858.641,7.3
1993-02,6741.541,9874.072,7.1
1993-03,6728.927,9837.055,7.0
1993-04,6768.199,9875.846,7.1
1993-05,6824.219,9934.464,7.1
1993-06,6834.399,9931.549,7.0
1993-07,6832.718,9909.41,6.9
1993-08,6874.015,9948.976,6.8
1993-09,6939.562,10025.385,6.7
1993-10,6944.388,10022.28,6.8
1993-11,7035.958,10120.667,6.6
1993-12,7060.868,10147.312,6.5
1994-01,7074.339,10145.733,6.6
1994-02,7122.98,10202.327,6.6
1994-03,7149.636,10236.121,6.5
1994-04,7186.416,10270.635,6.4
1994-05,7290.263,10369.425,6.1
1994-06,7264.115,10358.53,6.1
1994-07,7299.054,10361.374,6.1
1994-08,7351.818,10432.062,6.0
1994-09,7342.354,10386.525,5.9
1994-10,7429.311,10481.992,5.8
1994-11,7431.624,10475.221,5.6
1994-12,7504.929,10580.232,5.5
1995-01,7542.126,10582.692,5.6
1995-02,7488.417,10506.361,5.4
1995-03,7536.324,10560.54,5.4
1995-04,7538.84,10528.13,5.8
1995-05,7560.726,10557.584,5.6
1995-06,7643.425,10658.726,5.6
1995-07,7630.561,10605.887,5.7
1995-08,7674.208,10663.976,5.7
1995-09,7744.606,10744.754,5.6
1995-10,7747.37,10698.636,5.5
1995-11,7747.738,10717.168,5.6
1995-12,7822.65,10816.717,5.6
1996-01,7840.056,10794.123,5.6
1996-02,7852.91,10811.056,5.5
1996-03,7912.438,10869.457,5.5
1996-04,8025.46,11013.343,5.6
1996-05,8009.301,10976.657,5.6
1996-06,8063.758,11026.246,5.3
1996-07,8099.446,11067.473,5.5
1996-08,8122.969,11099.721,5.1
1996-09,8171.81,11144.715,5.2
1996-10,8250.642,11218.912,5.2
1996-11,8281.918,11241.368,5.4
1996-12,8246.753,11197.452,5.4
1997-01,8309.3,11263.592,5.3
1997-02,8385.538,11343.073,5.2
1997-03,8393.127,11268.296,5.2
1997-04,8511.575,11518.853,5.1
1997-05,8476.516,11409.098,4.9
1997-06,8568.383,11509.962,5.0
1997-07,8620.446,11602.211,4.9
1997-08,8655.698,11632.32,4.8
1997-09,8712.325,11634.12,4.9
1997-10,8748.236,11708.572,4.7
1997-11,8736.65,11684.412,4.6
1997-12,8812.835,11775.05,4.7
1998-01,8772.522,11713.304,4.6
1998-02,8894.478,11885.943,4.6
1998-03,8932.441,11920.167,4.7
1998-04,8925.42,11894.641,4.3
1998-05,8953.451,11925.59,4.4
1998-06,9030.226,12027.828,4.5
1998-07,9049.859,12003.178,4.5
1998-08,9100.663,12065.49,4.5
1998-09,9212.769,12228.242,4.6
1998-10,9266.443,12270.102,4.5
1998-11,9307.29,12320.492,4.4
1998-12,9308.239,12292.913,4.4
1999-01,9357.79,12326.008,4.3
1999-02,9410.838,12419.131,4.4
1999-03,9466.418,12486.515,4.2
1999-04,9496.004,12485.177,4.3
1999-05,9536.617,12528.727,4.2
1999-06,9546.009,12528.722,4.3
1999-07,9659.315,12640.913,4.3
1999-08,9660.728,12676.686,4.2
1999-09,9739.835,12721.668,4.2
1999-10,9819.718,12788.432,4.1
1999-11,9890.712,12872.597,4.1
1999-12,9990.078,13002.802,4.0
2000-01,9923.94,12873.303,4.0
2000-02,9995.634,12928.88,4.1
2000-03,10086.964,13002.675,4.0
2000-04,10225.144,13171.823,3.8
2000-05,10231.882,13152.774,4.0
2000-06,10286.134,13186.6,4.0
2000-07,10234.204,13101.479,4.0
2000-08,10335.776,13207.281,4.1
2000-09,10384.516,13241.737,3.9
2000-10,10435.195,13278.027,3.9
2000-11,10445.895,13264.775,3.9
2000-12,10426.142,13243.416,3.9
2001-01,10467.166,13246.951,4.2
2001-02,10463.015,13220.027,4.2
2001-03,10480.512,13190.697,4.3
2001-04,10565.28,13291.355,4.4
2001-05,10640.265,13352.612,4.3
2001-06,10591.455,13260.231,4.5
2001-07,10585.541,13219.056,4.6
2001-08,10699.214,13371.386,4.9
2001-09,10509.305,13153.912,5.0
2001-10,10638.928,13264.523,5.3
2001-11,10587.359,13195.574,5.5
2001-12,10755.108,13394.8,5.7
2002-01,10787.218,13429.466,5.7
2002-02,10748.483,13344.524,5.7
2002-03,10814.799,13411.063,5.7
2002-04,10859.032,13462.661,5.9
2002-05,10870.11,13460.179,5.8
2002-06,10933.239,13509.516,5.8
2002-07,11001.662,13583.497,5.8
2002-08,10952.434,13502.322,5.7
2002-09,10998.024,13509.468,5.7
2002-10,10998.748,13496.054,5.7
2002-11,11053.01,13534.395,5.9
2002-12,11132.541,13617.668,6.0
2003-01,11136.068,13598.612,5.8
2003-02,11210.759,13658.897,5.9
2003-03,11175.559,13600.887,5.9
2003-04,11257.068,13675.626,6.0
2003-05,11275.411,13690.295,6.1
2003-06,11405.819,13857.838,6.3
2003-07,11468.083,13895.687,6.2
2003-08,11567.656,13968.65,6.1
2003-09,11664.268,14046.622,6.1
2003-10,11699.74,14065.181,6.0
2003-11,11785.689,14147.523,5.8
2003-12,11831.273,14181.852,5.7
2004-01,11806.033,14104.413,5.7
2004-02,11926.727,14223.28,5.6
2004-03,12037.581,14309.74,5.8
2004-04,12035.876,14268.291,5.6
2004-05,12175.768,14399.719,5.6
2004-06,12126.801,14301.534,5.6
2004-07,12279.502,14429.407,5.5
2004-08,12299.972,14466.262,5.4
2004-09,12336.447,14478.333,5.4
2004-10,12471.791,14586.143,5.5
2004-11,12514.736,14588.647,5.4
2004-12,12595.115,14642.485,5.4
2005-01,12748.698,14780.746,5.3
2005-02,12750.909,14749.235,5.4
2005-03,12802.251,14774.063,5.2
2005-04,12859.134,14815.395,5.2
2005-05,12882.018,14779.454,5.1
2005-06,13026.816,14924.659,5.0
2005-07,13095.963,14950.211,5.0
2005-08,13153.024,14981.881,4.9
2005-09,13178.939,14937.214,5.0
2005-10,13236.031,14968.21,5.0
2005-11,13299.149,14995.346,5.0
2005-12,13437.432,15160.525,4.9
2006-01,13517.662,15219.426,4.7
2006-02,13568.589,15193.634,4.8
2006-03,13711.229,15319.512,4.7
2006-04,13695.003,15243.939,4.7
