DATE,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6315.523,9485.624
1992 - Feb,6356.725,9527.945
1992 - Mar,6417.058,9606.175
1992 - Apr,6443.170,9612.231
1992 - May,6433.786,9594.319
1992 - Jun,6535.333,9723.467
1992 - Jul,6557.165,9739.856
1992 - Aug,6556.862,9721.074
1992 - Sep,6585.895,9754.991
1992 - Oct,6637.500,9809.804
1992 - Nov,6680.168,9837.279
1992 - Dec,6724.741,9873.415
1993 - Jan,6717.909,9858.641
1993 - Feb,6741.541,9874.072
1993 - Mar,6728.927,9837.055
1993 - Apr,6768.199,9875.846
1993 - May,6824.219,9934.464
1993 - Jun,6834.399,9931.549
1993 - Jul,6832.718,9909.410
1993 - Aug,6874.015,9948.976
1993 - Sep,6939.562,10025.385
1993 - Oct,6944.388,10022.280
1993 - Nov,7035.958,10120.667
1993 - Dec,7060.868,10147.312
1994 - Jan,7074.339,10145.733
1994 - Feb,7122.980,10202.327
1994 - Mar,7149.636,10236.121
1994 - Apr,7186.416,10270.635
1994 - May,7290.263,10369.425
1994 - Jun,7264.115,10358.530
1994 - Jul,7299.054,10361.374
1994 - Aug,7351.818,10432.062
1994 - Sep,7342.354,10386.525
1994 - Oct,7429.311,10481.992
1994 - Nov,7431.624,10475.221
1994 - Dec,7504.929,10580.232
1995 - Jan,7542.126,10582.692
1995 - Feb,7488.417,10506.361
1995 - Mar,7536.324,10560.540
1995 - Apr,7538.840,10528.130
1995 - May,7560.726,10557.584
1995 - Jun,7643.425,10658.726
1995 - Jul,7630.561,10605.887
1995 - Aug,7674.208,10663.976
1995 - Sep,7744.606,10744.754
1995 - Oct,7747.370,10698.636
1995 - Nov,7747.738,10717.168
1995 - Dec,7822.650,10816.717
1996 - Jan,7840.056,10794.123
1996 - Feb,7852.910,10811.056
1996 - Mar,7912.438,10869.457
1996 - Apr,8025.460,11013.343
1996 - May,8009.301,10976.657
1996 - Jun,8063.758,11026.246
1996 - Jul,8099.446,11067.473
1996 - Aug,8122.969,11099.721
1996 - Sep,8171.810,11144.715
1996 - Oct,8250.642,11218.912
1996 - Nov,8281.918,11241.368
1996 - Dec,8246.753,11197.452
1997 - Jan,8309.300,11263.592
1997 - Feb,8385.538,11343.073
1997 - Mar,8393.127,11268.296
1997 - Apr,8511.575,11518.853
1997 - May,8476.516,11409.098
1997 - Jun,8568.383,11509.962
1997 - Jul,8620.446,11602.211
1997 - Aug,8655.698,11632.320
1997 - Sep,8712.325,11634.120
1997 - Oct,8748.236,11708.572
1997 - Nov,8736.650,11684.412
1997 - Dec,8812.835,11775.050
1998 - Jan,8772.522,11713.304
1998 - Feb,8894.478,11885.943
1998 - Mar,8932.441,11920.167
1998 - Apr,8925.420,11894.641
1998 - May,8953.451,11925.590
1998 - Jun,9030.226,12027.828
1998 - Jul,9049.859,12003.178
1998 - Aug,9100.663,12065.490
1998 - Sep,9212.769,12228.242
1998 - Oct,9266.443,12270.102
1998 - Nov,9307.290,12320.492
1998 - Dec,9308.239,12292.913
1999 - Jan,9357.790,12326.008
1999 - Feb,9410.838,12419.131
1999 - Mar,9466.418,12486.515
1999 - Apr,9496.004,12485.177
1999 - May,9536.617,12528.727
1999 - Jun,9546.009,12528.722
1999 - Jul,9659.315,12640.913
1999 - Aug,9660.728,12676.686
1999 - Sep,9739.835,12721.668
1999 - Oct,9819.718,12788.432
1999 - Nov,9890.712,12872.597
1999 - Dec,9990.078,13002.802
2000 - Jan,9923.940,12873.303
2000 - Feb,9995.634,12928.880
2000 - Mar,10086.964,13002.675
2000 - Apr,10225.144,13171.823
2000 - May,10231.882,13152.774
2000 - Jun,10286.134,13186.600
2000 - Jul,10234.204,13101.479
2000 - Aug,10335.776,13207.281
2000 - Sep,10384.516,13241.737
2000 - Oct,10435.195,13278.027
2000 - Nov,10445.895,13264.775
2000 - Dec,10426.142,13243.416
2001 - Jan,10467.166,13246.951
2001 - Feb,10463.015,13220.027
2001 - Mar,10480.512,13190.697
2001 - Apr,10565.280,13291.355
2001 - May,10640.265,13352.612
2001 - Jun,10591.455,13260.231
2001 - Jul,10585.541,13219.056
2001 - Aug,10699.214,13371.386
2001 - Sep,10509.305,13153.912
2001 - Oct,10638.928,13264.523
2001 - Nov,10587.359,13195.574
2001 - Dec,10755.108,13394.800
2002 - Jan,10787.218,13429.466
2002 - Feb,10748.483,13344.524
2002 - Mar,10814.799,13411.063
2002 - Apr,10859.032,13462.661
2002 - May,10870.110,13460.179
2002 - Jun,10933.239,13509.516
2002 - Jul,11001.662,13583.497
2002 - Aug,10952.434,13502.322
