SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
1,amazon,2015-01-02,312.579987,314.75,306.959991,308.519989,17930.522,17262.783,5.7,0.11
2,amazon,2015-01-05,307.01001,308.380005,300.850006,302.190002,17930.522,17262.783,5.7,0.11
3,amazon,2015-01-06,302.23999,303.0,292.380005,295.290009,17930.522,17262.783,5.7,0.11
4,amazon,2015-01-07,297.5,301.279999,295.329987,298.420013,17930.522,17262.783,5.7,0.11
5,amazon,2015-01-08,300.320007,303.140015,296.109985,300.459991,17930.522,17262.783,5.7,0.11
6,amazon,2015-01-09,301.480011,302.869995,296.679993,296.929993,17930.522,17262.783,5.7,0.11
7,amazon,2015-01-12,297.559998,298.51001,289.279999,291.410004,17930.522,17262.783,5.7,0.11
8,amazon,2015-01-13,297.480011,301.5,293.230011,294.73999,17930.522,17262.783,5.7,0.11
9,amazon,2015-01-14,291.929993,295.910004,286.5,293.269989,17930.522,17262.783,5.7,0.11
10,amazon,2015-01-15,294.0,296.0,286.820007,286.950012,17930.522,17262.783,5.7,0.11
11,amazon,2015-01-16,286.279999,290.790009,285.25,290.73999,17930.522,17262.783,5.7,0.11
12,amazon,2015-01-20,292.589996,293.359985,286.390015,289.440002,17930.522,17262.783,5.7,0.11
13,amazon,2015-01-21,289.640015,306.0,287.26001,297.25,17930.522,17262.783,5.7,0.11
14,amazon,2015-01-22,300.0,312.25,300.0,310.320007,17930.522,17262.783,5.7,0.11
15,amazon,2015-01-23,308.079987,316.929993,307.720001,312.390015,17930.522,17262.783,5.7,0.11
16,amazon,2015-01-26,311.820007,313.0,307.519989,309.660004,17930.522,17262.783,5.7,0.11
17,amazon,2015-01-27,306.299988,310.23999,302.630005,306.75,17930.522,17262.783,5.7,0.11
18,amazon,2015-01-28,309.809998,311.51001,303.799988,303.910004,17930.522,17262.783,5.7,0.11
19,amazon,2015-01-29,304.730011,312.799988,299.329987,311.779999,17930.522,17262.783,5.7,0.11
20,amazon,2015-01-30,346.320007,359.5,340.73999,354.529999,17930.522,17262.783,5.7,0.11
21,amazon,2015-02-02,350.049988,365.0,350.01001,364.470001,18060.069,17354.798,5.5,0.11
22,amazon,2015-02-03,360.290009,367.820007,360.209991,363.549988,18060.069,17354.798,5.5,0.11
23,amazon,2015-02-04,358.380005,367.5,358.230011,364.75,18060.069,17354.798,5.5,0.11
24,amazon,2015-02-05,366.0,378.799988,365.899994,373.890015,18060.069,17354.798,5.5,0.11
25,amazon,2015-02-06,374.869995,375.98999,371.01001,374.279999,18060.069,17354.798,5.5,0.11
26,amazon,2015-02-09,371.0,374.410004,367.200012,370.559998,18060.069,17354.798,5.5,0.11
27,amazon,2015-02-10,371.190002,374.299988,368.51001,373.0,18060.069,17354.798,5.5,0.11
28,amazon,2015-02-11,371.230011,377.100006,371.100006,375.140015,18060.069,17354.798,5.5,0.11
29,amazon,2015-02-12,375.100006,378.51001,373.149994,377.170013,18060.069,17354.798,5.5,0.11
30,amazon,2015-02-13,378.410004,383.0,377.01001,381.829987,18060.069,17354.798,5.5,0.11
31,amazon,2015-02-17,377.720001,379.98999,372.670013,375.429993,18060.069,17354.798,5.5,0.11
32,amazon,2015-02-18,373.779999,376.73999,372.850006,373.369995,18060.069,17354.798,5.5,0.11
33,amazon,2015-02-19,373.48999,381.880005,373.429993,379.0,18060.069,17354.798,5.5,0.11
34,amazon,2015-02-20,378.619995,383.700012,375.839996,383.660004,18060.069,17354.798,5.5,0.11
35,amazon,2015-02-23,383.440002,384.540009,378.0,380.140015,18060.069,17354.798,5.5,0.11
36,amazon,2015-02-24,378.649994,380.480011,376.160004,378.589996,18060.069,17354.798,5.5,0.11
37,amazon,2015-02-25,377.269989,387.850006,376.540009,385.369995,18060.069,17354.798,5.5,0.11
38,amazon,2015-02-26,384.070007,389.369995,383.279999,384.799988,18060.069,17354.798,5.5,0.11
39,amazon,2015-02-27,384.0,385.98999,379.790009,380.160004,18060.069,17354.798,5.5,0.11
40,amazon,2015-03-02,380.850006,385.899994,379.480011,385.660004,17983.453,17224.323,5.4,0.11
41,amazon,2015-03-03,383.950012,386.100006,381.600006,384.609985,17983.453,17224.323,5.4,0.11
42,amazon,2015-03-04,385.709991,387.899994,382.190002,382.720001,17983.453,17224.323,5.4,0.11
43,amazon,2015-03-05,385.609985,388.420013,383.890015,387.829987,17983.453,17224.323,5.4,0.11
44,amazon,2015-03-06,385.519989,387.0,378.880005,380.089996,17983.453,17224.323,5.4,0.11
45,amazon,2015-03-09,378.399994,379.329987,375.279999,378.559998,17983.453,17224.323,5.4,0.11
46,amazon,2015-03-10,377.450012,377.769989,369.179993,369.51001,17983.453,17224.323,5.4,0.11
47,amazon,2015-03-11,370.609985,373.350006,366.26001,366.369995,17983.453,17224.323,5.4,0.11
48,amazon,2015-03-12,368.820007,375.5,367.519989,374.23999,17983.453,17224.323,5.4,0.11
49,amazon,2015-03-13,371.519989,373.98999,366.679993,370.579987,17983.453,17224.323,5.4,0.11
50,amazon,2015-03-16,370.380005,373.940002,366.720001,373.350006,17983.453,17224.323,5.4,0.11
51,amazon,2015-03-17,371.109985,374.5,369.640015,371.920013,17983.453,17224.323,5.4,0.11
52,amazon,2015-03-18,369.970001,375.98999,366.700012,375.140015,17983.453,17224.323,5.4,0.11
53,amazon,2015-03-19,373.869995,377.109985,372.190002,373.23999,17983.453,17224.323,5.4,0.11
54,amazon,2015-03-20,376.290009,379.369995,375.920013,378.48999,17983.453,17224.323,5.4,0.11
55,amazon,2015-03-23,378.070007,381.769989,374.940002,375.109985,17983.453,17224.323,5.4,0.11
56,amazon,2015-03-24,373.98999,375.23999,372.269989,374.089996,17983.453,17224.323,5.4,0.11
57,amazon,2015-03-25,375.170013,380.5,370.290009,370.959991,17983.453,17224.323,5.4,0.11
58,amazon,2015-03-26,369.589996,371.399994,365.649994,367.350006,17983.453,17224.323,5.4,0.11
59,amazon,2015-03-27,367.109985,373.170013,366.570007,370.559998,17983.453,17224.323,5.4,0.11
60,amazon,2015-03-30,371.869995,376.119995,371.549988,374.589996,17983.453,17224.323,5.4,0.11
61,amazon,2015-03-31,373.23999,377.700012,371.51001,372.100006,17983.453,17224.323,5.4,0.11
62,amazon,2015-04-01,372.100006,373.160004,368.339996,370.26001,18161.747,17387.295,5.4,0.12
63,amazon,2015-04-02,370.5,373.279999,369.0,372.25,18161.747,17387.295,5.4,0.12
64,amazon,2015-04-06,370.100006,380.200012,369.359985,377.040009,18161.747,17387.295,5.4,0.12
65,amazon,2015-04-07,376.149994,379.309998,374.029999,374.410004,18161.747,17387.295,5.4,0.12
66,amazon,2015-04-08,374.660004,381.579987,374.649994,381.200012,18161.747,17387.295,5.4,0.12
67,amazon,2015-04-09,380.660004,384.420013,378.799988,383.540009,18161.747,17387.295,5.4,0.12
68,amazon,2015-04-10,384.309998,387.119995,381.320007,382.649994,18161.747,17387.295,5.4,0.12
69,amazon,2015-04-13,383.529999,385.279999,380.140015,382.359985,18161.747,17387.295,5.4,0.12
70,amazon,2015-04-14,383.51001,387.809998,381.209991,385.109985,18161.747,17387.295,5.4,0.12
71,amazon,2015-04-15,384.649994,385.779999,381.640015,383.450012,18161.747,17387.295,5.4,0.12
72,amazon,2015-04-16,383.690002,387.450012,383.549988,386.040009,18161.747,17387.295,5.4,0.12
73,amazon,2015-04-17,382.630005,383.559998,374.399994,375.559998,18161.747,17387.295,5.4,0.12
74,amazon,2015-04-20,378.549988,391.940002,377.0,389.51001,18161.747,17387.295,5.4,0.12
75,amazon,2015-04-21,391.309998,394.600006,386.799988,391.179993,18161.747,17387.295,5.4,0.12
76,amazon,2015-04-22,391.910004,394.279999,388.0,389.799988,18161.747,17387.295,5.4,0.12
77,amazon,2015-04-23,390.209991,391.880005,386.149994,389.98999,18161.747,17387.295,5.4,0.12
78,amazon,2015-04-24,439.0,452.649994,439.0,445.100006,18161.747,17387.295,5.4,0.12
79,amazon,2015-04-27,443.859985,446.98999,437.410004,438.559998,18161.747,17387.295,5.4,0.12
80,amazon,2015-04-28,438.51001,439.0,428.040009,429.309998,18161.747,17387.295,5.4,0.12
