SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
5284,apple,2015-01-02,27.8475,27.860001,26.8375,24.745996,17930.522,17262.783,5.7,0.11
5285,apple,2015-01-05,27.0725,27.1625,26.352501,24.048864,17930.522,17262.783,5.7,0.11
5286,apple,2015-01-06,26.635,26.8575,26.157499,24.051125,17930.522,17262.783,5.7,0.11
5287,apple,2015-01-07,26.799999,27.049999,26.674999,24.388372,17930.522,17262.783,5.7,0.11
5288,apple,2015-01-08,27.307501,28.0375,27.174999,25.32543,17930.522,17262.783,5.7,0.11
5289,apple,2015-01-09,28.1675,28.3125,27.5525,25.352596,17930.522,17262.783,5.7,0.11
5290,apple,2015-01-12,28.15,28.157499,27.200001,24.727888,17930.522,17262.783,5.7,0.11
5291,apple,2015-01-13,27.8575,28.200001,27.227501,24.947441,17930.522,17262.783,5.7,0.11
5292,apple,2015-01-14,27.26,27.622499,27.125,24.852381,17930.522,17262.783,5.7,0.11
5293,apple,2015-01-15,27.5,27.514999,26.665001,24.177874,17930.522,17262.783,5.7,0.11
5294,apple,2015-01-16,26.7575,26.895,26.299999,23.990015,17930.522,17262.783,5.7,0.11
5295,apple,2015-01-20,26.959999,27.2425,26.625,24.607925,17930.522,17262.783,5.7,0.11
5296,apple,2015-01-21,27.237499,27.764999,27.067499,24.795801,17930.522,17262.783,5.7,0.11
5297,apple,2015-01-22,27.565001,28.1175,27.43,25.440866,17930.522,17262.783,5.7,0.11
5298,apple,2015-01-23,28.075001,28.4375,27.8825,25.572142,17930.522,17262.783,5.7,0.11
5299,apple,2015-01-26,28.434999,28.59,28.200001,25.599306,17930.522,17262.783,5.7,0.11
5300,apple,2015-01-27,28.105,28.120001,27.2575,24.70299,17930.522,17262.783,5.7,0.11
5301,apple,2015-01-28,29.407499,29.530001,28.827499,26.09952,17930.522,17262.783,5.7,0.11
5302,apple,2015-01-29,29.08,29.797501,28.889999,26.912094,17930.522,17262.783,5.7,0.11
5303,apple,2015-01-30,29.6,30.0,29.2125,26.518259,17930.522,17262.783,5.7,0.11
5304,apple,2015-02-02,29.512501,29.7925,29.02,26.850985,18060.069,17354.798,5.5,0.11
5305,apple,2015-02-03,29.625,29.772499,29.4025,26.855499,18060.069,17354.798,5.5,0.11
5306,apple,2015-02-04,29.625,30.127501,29.577499,27.061476,18060.069,17354.798,5.5,0.11
5307,apple,2015-02-05,30.004999,30.057501,29.8125,27.254635,18060.069,17354.798,5.5,0.11
5308,apple,2015-02-06,30.004999,30.0625,29.612499,27.025118,18060.069,17354.798,5.5,0.11
5309,apple,2015-02-09,29.637501,29.959999,29.6075,27.204636,18060.069,17354.798,5.5,0.11
5310,apple,2015-02-10,30.0425,30.5375,30.040001,27.727276,18060.069,17354.798,5.5,0.11
5311,apple,2015-02-11,30.692499,31.23,30.625,28.377174,18060.069,17354.798,5.5,0.11
5312,apple,2015-02-12,31.514999,31.870001,31.3925,28.736198,18060.069,17354.798,5.5,0.11
5313,apple,2015-02-13,31.82,31.82,31.4125,28.877089,18060.069,17354.798,5.5,0.11
5314,apple,2015-02-17,31.872499,32.220001,31.73,29.047516,18060.069,17354.798,5.5,0.11
5315,apple,2015-02-18,31.907499,32.195,31.862499,29.249762,18060.069,17354.798,5.5,0.11
5316,apple,2015-02-19,32.119999,32.2575,32.0825,29.1884,18060.069,17354.798,5.5,0.11
5317,apple,2015-02-20,32.154999,32.375,32.012501,29.426998,18060.069,17354.798,5.5,0.11
5318,apple,2015-02-23,32.505001,33.25,32.415001,30.222326,18060.069,17354.798,5.5,0.11
5319,apple,2015-02-24,33.235001,33.400002,32.7925,30.033722,18060.069,17354.798,5.5,0.11
5320,apple,2015-02-25,32.889999,32.900002,32.037498,29.265663,18060.069,17354.798,5.5,0.11
5321,apple,2015-02-26,32.197498,32.717499,31.6525,29.636061,18060.069,17354.798,5.5,0.11
5322,apple,2015-02-27,32.5,32.642502,32.060001,29.190678,18060.069,17354.798,5.5,0.11
5323,apple,2015-03-02,32.3125,32.57,32.075001,29.333834,17983.453,17224.323,5.4,0.11
5324,apple,2015-03-03,32.240002,32.380001,32.022499,29.395187,17983.453,17224.323,5.4,0.11
5325,apple,2015-03-04,32.275002,32.389999,32.080002,29.208851,17983.453,17224.323,5.4,0.11
5326,apple,2015-03-05,32.145,32.1875,31.440001,28.724842,17983.453,17224.323,5.4,0.11
5327,apple,2015-03-06,32.099998,32.342499,31.565001,28.768019,17983.453,17224.323,5.4,0.11
5328,apple,2015-03-09,31.99,32.392502,31.264999,28.890726,17983.453,17224.323,5.4,0.11
5329,apple,2015-03-10,31.602501,31.805,30.950001,28.293097,17983.453,17224.323,5.4,0.11
