SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
3523,google,2015-01-02,527.561584,529.815369,522.665039,523.373108,17930.522,17262.783,5.7,0.11
3524,google,2015-01-05,521.827332,522.894409,511.655243,512.463013,17930.522,17262.783,5.7,0.11
3525,google,2015-01-06,513.589966,514.761719,499.678131,500.585632,17930.522,17262.783,5.7,0.11
3526,google,2015-01-07,505.611847,505.855164,498.281952,499.727997,17930.522,17262.783,5.7,0.11
3527,google,2015-01-08,496.626526,502.101471,489.65564,501.30368,17930.522,17262.783,5.7,0.11
3528,google,2015-01-09,503.377991,503.537537,493.435272,494.811493,17930.522,17262.783,5.7,0.11
3529,google,2015-01-12,493.584869,494.618011,486.225067,491.201416,17930.522,17262.783,5.7,0.11
3530,google,2015-01-13,497.474182,501.602844,491.04184,494.821472,17930.522,17262.783,5.7,0.11
3531,google,2015-01-14,493.295654,501.852173,491.650177,499.498627,17930.522,17262.783,5.7,0.11
3532,google,2015-01-15,504.18576,504.295471,496.397156,500.416107,17930.522,17262.783,5.7,0.11
3533,google,2015-01-16,498.640991,506.798584,498.631012,506.688873,17930.522,17262.783,5.7,0.11
3534,google,2015-01-20,509.600891,511.096771,504.630524,505.512115,17930.522,17262.783,5.7,0.11
3535,google,2015-01-21,505.861145,517.858215,504.814026,516.621643,17930.522,17262.783,5.7,0.11
3536,google,2015-01-22,520.052185,534.861511,518.2771,532.926819,17930.522,17262.783,5.7,0.11
3537,google,2015-01-23,534.123535,540.685547,531.540649,538.471619,17930.522,17262.783,5.7,0.11
3538,google,2015-01-26,537.055542,537.524231,528.219788,533.744629,17930.522,17262.783,5.7,0.11
3539,google,2015-01-27,528.518921,529.246948,516.771179,517.210022,17930.522,17262.783,5.7,0.11
3540,google,2015-01-28,521.348633,521.558044,508.603638,508.603638,17930.522,17262.783,5.7,0.11
3541,google,2015-01-29,509.600891,509.690643,499.827728,509.26181,17930.522,17262.783,5.7,0.11
3542,google,2015-01-30,514.447571,538.391846,514.108521,533.056519,17930.522,17262.783,5.7,0.11
3543,google,2015-02-02,530.274109,531.540649,517.130249,527.03302,18060.069,17354.798,5.5,0.11
3544,google,2015-02-03,526.554321,531.939575,521.827332,527.790955,18060.069,17354.798,5.5,0.11
3545,google,2015-02-04,527.790955,531.213562,519.842773,521.328674,18060.069,17354.798,5.5,0.11
3546,google,2015-02-05,522.355896,527.052979,520.660522,526.135498,18060.069,17354.798,5.5,0.11
3547,google,2015-02-06,526.195313,535.729126,524.968689,529.546143,18060.069,17354.798,5.5,0.11
3548,google,2015-02-09,526.554321,530.543396,524.579773,526.384827,18060.069,17354.798,5.5,0.11
3549,google,2015-02-10,527.850769,536.227783,525.477295,535.469849,18060.069,17354.798,5.5,0.11
3550,google,2015-02-11,533.834351,536.975708,531.917603,534.502502,18060.069,17354.798,5.5,0.11
3551,google,2015-02-12,535.778992,543.328308,533.209045,541.443481,18060.069,17354.798,5.5,0.11
3552,google,2015-02-13,541.862305,548.404358,541.642944,547.506836,18060.069,17354.798,5.5,0.11
3553,google,2015-02-17,545.332764,548.49408,539.608521,541.353699,18060.069,17354.798,5.5,0.11
3554,google,2015-02-18,539.917664,543.99646,536.03833,538.22229,18060.069,17354.798,5.5,0.11
3555,google,2015-02-19,536.566833,541.622986,536.536926,541.383606,18060.069,17354.798,5.5,0.11
3556,google,2015-02-20,541.642944,542.26123,534.333008,537.474365,18060.069,17354.798,5.5,0.11
3557,google,2015-02-23,534.582275,534.970215,527.96051,530.453613,18060.069,17354.798,5.5,0.11
3558,google,2015-02-24,528.548889,535.320251,526.80365,534.622192,18060.069,17354.798,5.5,0.11
3559,google,2015-02-25,534.432739,544.724487,533.978943,542.38092,18060.069,17354.798,5.5,0.11
3560,google,2015-02-26,541.722717,554.61731,540.017395,553.959106,18060.069,17354.798,5.5,0.11
3561,google,2015-02-27,552.722473,563.163818,551.386169,556.871094,18060.069,17354.798,5.5,0.11
3562,google,2015-03-02,558.9953,570.583435,557.220154,569.775696,17983.453,17224.323,5.4,0.11
3563,google,2015-03-03,568.888123,573.814575,564.968872,572.069397,17983.453,17224.323,5.4,0.11
3564,google,2015-03-04,570.30426,575.529907,566.454773,571.80011,17983.453,17224.323,5.4,0.11
3565,google,2015-03-05,573.445618,576.327698,571.840027,573.754761,17983.453,17224.323,5.4,0.11
