SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
7045,netflix,2015-01-02,49.151428,50.331429,48.73143,49.848572,17930.522,17262.783,5.7,0.11
7046,netflix,2015-01-05,49.258572,49.258572,47.147144,47.311428,17930.522,17262.783,5.7,0.11
7047,netflix,2015-01-06,47.347141,47.639999,45.66143,46.501431,17930.522,17262.783,5.7,0.11
7048,netflix,2015-01-07,47.347141,47.421429,46.271427,46.742859,17930.522,17262.783,5.7,0.11
7049,netflix,2015-01-08,47.119999,47.835712,46.478573,47.779999,17930.522,17262.783,5.7,0.11
7050,netflix,2015-01-09,47.631428,48.02,46.898571,47.041428,17930.522,17262.783,5.7,0.11
7051,netflix,2015-01-12,47.09,47.19857,45.264286,45.547142,17930.522,17262.783,5.7,0.11
7052,netflix,2015-01-13,46.021427,47.048573,45.900002,46.255714,17930.522,17262.783,5.7,0.11
7053,netflix,2015-01-14,47.07143,47.369999,45.68,46.32,17930.522,17262.783,5.7,0.11
7054,netflix,2015-01-15,46.547142,46.785713,45.844288,46.251431,17930.522,17262.783,5.7,0.11
7055,netflix,2015-01-16,46.857143,48.25,46.381428,48.191429,17930.522,17262.783,5.7,0.11
7056,netflix,2015-01-20,48.57143,50.0,47.714287,49.828571,17930.522,17262.783,5.7,0.11
7057,netflix,2015-01-21,59.234287,59.240002,57.41,58.468571,17930.522,17262.783,5.7,0.11
7058,netflix,2015-01-22,58.57143,61.374287,57.828571,61.205715,17930.522,17262.783,5.7,0.11
7059,netflix,2015-01-23,60.988571,62.742859,60.881428,62.494286,17930.522,17262.783,5.7,0.11
7060,netflix,2015-01-26,62.57143,63.898571,61.957142,63.794285,17930.522,17262.783,5.7,0.11
7061,netflix,2015-01-27,63.087143,65.339996,63.049999,64.881432,17930.522,17262.783,5.7,0.11
7062,netflix,2015-01-28,64.741432,64.821426,63.081429,63.208572,17930.522,17262.783,5.7,0.11
7063,netflix,2015-01-29,63.204285,63.927143,62.5,63.400002,17930.522,17262.783,5.7,0.11
7064,netflix,2015-01-30,63.132858,63.984287,62.655712,63.114285,17930.522,17262.783,5.7,0.11
7065,netflix,2015-02-02,62.842857,63.42857,61.955715,63.009998,18060.069,17354.798,5.5,0.11
7066,netflix,2015-02-03,63.32,65.46714,62.73,65.274284,18060.069,17354.798,5.5,0.11
7067,netflix,2015-02-04,65.041428,65.174286,63.889999,64.101433,18060.069,17354.798,5.5,0.11
7068,netflix,2015-02-05,64.541428,65.138573,63.665714,64.129997,18060.069,17354.798,5.5,0.11
7069,netflix,2015-02-06,64.25,64.428574,63.175713,63.48,18060.069,17354.798,5.5,0.11
7070,netflix,2015-02-09,63.19857,63.785713,62.637142,63.295715,18060.069,17354.798,5.5,0.11
7071,netflix,2015-02-10,63.459999,65.157143,63.101429,64.849998,18060.069,17354.798,5.5,0.11
7072,netflix,2015-02-11,64.830002,66.141426,64.557144,64.984283,18060.069,17354.798,5.5,0.11
